iter	Passed	Remaining
1460	338239	9028
1461	338483	8797
1462	338858	8569
1463	339044	8337
1464	339303	8106
1465	339545	7874
1466	339828	7644
1467	340073	7413
1468	340307	7181
1469	340538	6949
1470	340791	6718
1471	341055	6487
1472	341306	6256
1473	341534	6024
1474	341781	5792
1475	342105	5562
1476	342480	5333
1477	342848	5103
1478	343234	4873
1479	343598	4643
1480	343970	4412
1481	344362	4182
1482	344717	3951
1483	345052	3720
1484	345510	3490
1485	345819	3258
1486	346099	3025
1487	346350	2793
1488	346637	2560
1489	346984	2328
1490	347263	2096
1491	347495	1863
1492	347744	1630
1493	348007	1397
1494	348361	1165
1495	348695	932
1496	349028	699
1497	349295	466
1498	349557	233
1499	349844	0
